full_text,sentimen,cleaned_text,cleanedNormalized_text,tokenisasiSastrawi,tokens_no_stopwords,tokens_stemmed,final_preprocessed_text
Masih engga masuk akal di otakku hubungan rumah tangga yang toksiknya mendarah daging sudah di taraf kdrt bahkan sudah percobaan pembunuhan kok masih balikan lagi anjing?? Masokis kah nyawa bedua??,negatif,masih engga masuk akal di otakku hubungan rumah tangga yang toksiknya mendarah daging sudah di taraf kdrt bahkan sudah percobaan pembunuhan kok masih balikan lagi anjing masokis kah nyawa bedua,masih tidak masuk akal di otakku hubungan rumah tangga yang toksik mendarah daging sudah di taraf kdrt bahkan sudah percobaan pembunuhan kok masih balikan lagi anjing masokis nyawa bedua,"['masih', 'tidak', 'masuk', 'akal', 'di', 'otakku', 'hubungan', 'rumah', 'tangga', 'yang', 'toksik', 'mendarah', 'daging', 'sudah', 'di', 'taraf', 'kdrt', 'bahkan', 'sudah', 'percobaan', 'pembunuhan', 'kok', 'masih', 'balikan', 'lagi', 'anjing', 'masokis', 'nyawa', 'bedua']","['tidak', 'masuk', 'akal', 'otakku', 'hubungan', 'rumah', 'tangga', 'toksik', 'mendarah', 'daging', 'taraf', 'kdrt', 'bahkan', 'percobaan', 'pembunuhan', 'kok', 'balikan', 'anjing', 'masokis', 'nyawa', 'bedua']","['tidak', 'masuk', 'akal', 'otak', 'hubung', 'rumah', 'tangga', 'toksik', 'darah', 'daging', 'taraf', 'kdrt', 'bahkan', 'coba', 'bunuh', 'balik', 'anjing', 'masokis', 'nyawa', 'bedua']",tidak masuk akal otak hubung rumah tangga toksik darah daging taraf kdrt bahkan coba bunuh balik anjing masokis nyawa bedua
Ini kejadian pada kakak saya setelah awal menikah sempat ke rumah besan lalu jajan di warung dekat situ pemilik warung heran kok mau besanan dengan keluarga yang pelit dan galak soal pohon buah ternyata benar KDRT dan keluarganya membela pelaku,negatif,ini kejadian pada kakak saya setelah awal menikah sempat ke rumah besan lalu jajan di warung dekat situ pemilik warung heran kok mau besanan dengan keluarga yang pelit dan galak soal pohon buah ternyata benar kdrt dan keluarganya membela pelaku,ini kejadian pada kakak saya setelah awal menikah sempat ke rumah besan lalu jajan di warung dekat situ pemilik warung heran kok mau besanan dengan keluarga yang pelit dan galak soal pohon buah ternyata benar kdrt dan keluarganya membela pelaku,"['ini', 'kejadian', 'pada', 'kakak', 'saya', 'setelah', 'awal', 'menikah', 'sempat', 'ke', 'rumah', 'besan', 'lalu', 'jajan', 'di', 'warung', 'dekat', 'situ', 'pemilik', 'warung', 'heran', 'kok', 'mau', 'besanan', 'dengan', 'keluarga', 'yang', 'pelit', 'dan', 'galak', 'soal', 'pohon', 'buah', 'ternyata', 'benar', 'kdrt', 'dan', 'keluarganya', 'membela', 'pelaku']","['kejadian', 'kakak', 'awal', 'menikah', 'sempat', 'rumah', 'besan', 'lalu', 'jajan', 'warung', 'dekat', 'situ', 'pemilik', 'warung', 'heran', 'kok', 'mau', 'besanan', 'keluarga', 'pelit', 'galak', 'soal', 'pohon', 'buah', 'ternyata', 'benar', 'kdrt', 'keluarganya', 'membela', 'pelaku']","['kakak', 'awal', 'nikah', 'sempat', 'rumah', 'besan', 'lalu', 'jajan', 'warung', 'dekat', 'situ', 'milik', 'warung', 'heran', 'besan', 'keluarga', 'pelit', 'galak', 'soal', 'pohon', 'buah', 'nyata', 'benar', 'kdrt', 'keluarga', 'bela', 'laku']",kakak awal nikah sempat rumah besan lalu jajan warung dekat situ milik warung heran besan keluarga pelit galak soal pohon buah nyata benar kdrt keluarga bela laku
@infoXwor_ Belum tau aja mereka kalo Cowok korea gak seromantis kek di Drakor dan lebih seneng KDRT ,negatif,belum tau aja mereka kalo cowok korea gak seromantis kek di drakor dan lebih seneng kdrt,belum tahu saja mereka kalau cowok korea tidak seromantis seperti di drakor dan lebih senang kdrt,"['belum', 'tahu', 'saja', 'mereka', 'kalau', 'cowok', 'korea', 'tidak', 'seromantis', 'seperti', 'di', 'drakor', 'dan', 'lebih', 'senang', 'kdrt']","['tahu', 'kalau', 'cowok', 'korea', 'tidak', 'seromantis', 'drakor', 'lebih', 'senang', 'kdrt']","['tahu', 'cowok', 'korea', 'tidak', 'romantis', 'drakor', 'lebih', 'senang', 'kdrt']",tahu cowok korea tidak romantis drakor lebih senang kdrt
Ga expect ternyata plot nya cukup serius dgn bawa issue kdrt gini kukira ini dorama yg tiap eps nya 'fuwa-fuwa' dan mengharukan doang....,negatif,ga expect ternyata plot nya cukup serius dgn bawa issue kdrt gini kukira ini dorama yg tiap eps nya fuwa fuwa dan mengharukan doang,tidak menyangka ternyata plot nya cukup serius dengan bawa isu kdrt begini kukira ini drama yang tiap episode nya fuwa fuwa dan mengharukan doang,"['tidak', 'menyangka', 'ternyata', 'plot', 'nya', 'cukup', 'serius', 'dengan', 'bawa', 'isu', 'kdrt', 'begini', 'kukira', 'ini', 'drama', 'yang', 'tiap', 'episode', 'nya', 'fuwa', 'fuwa', 'dan', 'mengharukan', 'doang']","['tidak', 'menyangka', 'ternyata', 'plot', 'nya', 'cukup', 'serius', 'bawa', 'isu', 'kdrt', 'begini', 'kukira', 'drama', 'tiap', 'episode', 'nya', 'fuwa', 'fuwa', 'mengharukan', 'doang']","['tidak', 'sangka', 'nyata', 'plot', 'cukup', 'serius', 'bawa', 'isu', 'kdrt', 'begini', 'kira', 'drama', 'tiap', 'episode', 'fuwa', 'fuwa', 'haru', 'doang']",tidak sangka nyata plot cukup serius bawa isu kdrt begini kira drama tiap episode fuwa fuwa haru doang
di rumah suka kdrt nih orang kyk gini,negatif,di rumah suka kdrt nih orang kyk gini,di rumah suka kdrt orang seperti begini,"['di', 'rumah', 'suka', 'kdrt', 'orang', 'seperti', 'begini']","['rumah', 'suka', 'kdrt', 'orang', 'begini']","['rumah', 'suka', 'kdrt', 'orang', 'begini']",rumah suka kdrt orang begini
@Rizieq_Sangean Dimana-mana wanita itu ratu playing victim.. Di yang mulai kasar dibalik kasar teriak kdrt...,negatif,dimana mana wanita itu ratu playing victim di yang mulai kasar dibalik kasar teriak kdrt,dimana mana wanita itu ratu berlagak korban di yang mulai kasar dibalik kasar teriak kdrt,"['dimana', 'mana', 'wanita', 'itu', 'ratu', 'berlagak', 'korban', 'di', 'yang', 'mulai', 'kasar', 'dibalik', 'kasar', 'teriak', 'kdrt']","['mana', 'wanita', 'ratu', 'berlagak', 'korban', 'mulai', 'kasar', 'dibalik', 'kasar', 'teriak', 'kdrt']","['wanita', 'ratu', 'lagak', 'korban', 'mulai', 'kasar', 'balik', 'kasar', 'teriak', 'kdrt']",wanita ratu lagak korban mulai kasar balik kasar teriak kdrt
Di negara dengan pemerintahan betulan si Miftah tu jangankan jd pejabat penting negara tampil di publik aja mungkin dilarang. Yang ada masuk penjara karena deretan perilaku pelecehan dan bahkan KDRT di depan publik.,negatif,di negara dengan pemerintahan betulan si miftah tu jangankan jd pejabat penting negara tampil di publik aja mungkin dilarang yang ada masuk penjara karena deretan perilaku pelecehan dan bahkan kdrt di depan publik,di negara dengan pemerintahan betulan si miftah tu jangankan jadi pejabat penting negara tampil di publik saja mungkin dilarang yang ada masuk penjara karena deretan perilaku pelecehan dan bahkan kdrt di depan publik,"['di', 'negara', 'dengan', 'pemerintahan', 'betulan', 'si', 'miftah', 'tu', 'jangankan', 'jadi', 'pejabat', 'penting', 'negara', 'tampil', 'di', 'publik', 'saja', 'mungkin', 'dilarang', 'yang', 'ada', 'masuk', 'penjara', 'karena', 'deretan', 'perilaku', 'pelecehan', 'dan', 'bahkan', 'kdrt', 'di', 'depan', 'publik']","['negara', 'pemerintahan', 'betulan', 'si', 'miftah', 'tu', 'jangankan', 'jadi', 'pejabat', 'penting', 'negara', 'tampil', 'publik', 'mungkin', 'dilarang', 'masuk', 'penjara', 'deretan', 'perilaku', 'pelecehan', 'bahkan', 'kdrt', 'depan', 'publik']","['negara', 'perintah', 'betul', 'miftah', 'tu', 'jangan', 'jabat', 'penting', 'negara', 'tampil', 'publik', 'mungkin', 'larang', 'masuk', 'penjara', 'deret', 'perilaku', 'leceh', 'bahkan', 'kdrt', 'depan', 'publik']",negara perintah betul miftah tu jangan jabat penting negara tampil publik mungkin larang masuk penjara deret perilaku leceh bahkan kdrt depan publik
itulah sebabnya seseorang bisa menjadi homofobia karena mayoritas laki laki cisgender heteroseksual adalah pelaku kekerasan seksual pembunuhan korupsi dan kekerasan dalam rumah tangga tidak semua laki laki tetapi hampir selalu laki laki,negatif,itulah sebabnya seseorang bisa menjadi homofobia karena mayoritas laki laki cisgender heteroseksual adalah pelaku kekerasan seksual pembunuhan korupsi dan kekerasan dalam rumah tangga tidak semua laki laki tetapi hampir selalu laki laki,itulah sebabnya seseorang bisa menjadi homofobia karena mayoritas laki laki cisgender heteroseksual adalah pelaku kekerasan seksual pembunuhan korupsi dan kekerasan dalam rumah tangga tidak semua laki laki tetapi hampir selalu laki laki,"['itulah', 'sebabnya', 'seseorang', 'bisa', 'menjadi', 'homofobia', 'karena', 'mayoritas', 'laki', 'laki', 'cisgender', 'heteroseksual', 'adalah', 'pelaku', 'kekerasan', 'seksual', 'pembunuhan', 'korupsi', 'dan', 'kekerasan', 'dalam', 'rumah', 'tangga', 'tidak', 'semua', 'laki', 'laki', 'tetapi', 'hampir', 'selalu', 'laki', 'laki']","['sebabnya', 'seseorang', 'menjadi', 'homofobia', 'mayoritas', 'laki', 'laki', 'cisgender', 'heteroseksual', 'pelaku', 'kekerasan', 'seksual', 'pembunuhan', 'korupsi', 'kekerasan', 'rumah', 'tangga', 'tidak', 'semua', 'laki', 'laki', 'hampir', 'selalu', 'laki', 'laki']","['sebab', 'orang', 'homofobia', 'mayoritas', 'laki', 'laki', 'cisgender', 'heteroseksual', 'laku', 'keras', 'seksual', 'bunuh', 'korupsi', 'keras', 'rumah', 'tangga', 'tidak', 'semua', 'laki', 'laki', 'hampir', 'selalu', 'laki', 'laki']",sebab orang homofobia mayoritas laki laki cisgender heteroseksual laku keras seksual bunuh korupsi keras rumah tangga tidak semua laki laki hampir selalu laki laki
@tanyarlfes salah goblok lu kira nikah modal cinta doang cukup? noh banyak kasus cerai kdrt anak lu yg jd korban karna apa? finansial,negatif,salah goblok lu kira nikah modal cinta doang cukup noh banyak kasus cerai kdrt anak lu yg jd korban karna apa finansial,salah goblok kamu kira nikah modal cinta doang cukup banyak kasus cerai kdrt anak kamu yang jadi korban karena apa finansial,"['salah', 'goblok', 'kamu', 'kira', 'nikah', 'modal', 'cinta', 'doang', 'cukup', 'banyak', 'kasus', 'cerai', 'kdrt', 'anak', 'kamu', 'yang', 'jadi', 'korban', 'karena', 'apa', 'finansial']","['salah', 'goblok', 'kamu', 'kira', 'nikah', 'modal', 'cinta', 'doang', 'cukup', 'banyak', 'kasus', 'cerai', 'kdrt', 'anak', 'kamu', 'jadi', 'korban', 'apa', 'finansial']","['salah', 'goblok', 'kira', 'nikah', 'modal', 'cinta', 'doang', 'cukup', 'banyak', 'kasus', 'cerai', 'kdrt', 'anak', 'korban', 'finansial']",salah goblok kira nikah modal cinta doang cukup banyak kasus cerai kdrt anak korban finansial
masalah keluarga todoroki kompleks pahlawan nomor dua tapi pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu dan fuyu berusaha tetap waras dan memperbaiki keadaan,negatif,masalah keluarga todoroki kompleks pahlawan nomor dua tapi pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu dan fuyu berusaha tetap waras dan memperbaiki keadaan,masalah keluarga todoroki kompleks pahlawan nomor dua tetapi pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu dan fuyu berusaha tetap waras dan memperbaiki keadaan,"['masalah', 'keluarga', 'todoroki', 'kompleks', 'pahlawan', 'nomor', 'dua', 'tetapi', 'pelaku', 'kekerasan', 'anak', 'sulung', 'buronan', 'istri', 'sakit', 'mental', 'anak', 'bungsu', 'pikul', 'harapan', 'orang', 'tua', 'kakak', 'natsu', 'dan', 'fuyu', 'berusaha', 'tetap', 'waras', 'dan', 'memperbaiki', 'keadaan']","['masalah', 'keluarga', 'todoroki', 'kompleks', 'pahlawan', 'nomor', 'pelaku', 'kekerasan', 'anak', 'sulung', 'buronan', 'istri', 'sakit', 'mental', 'anak', 'bungsu', 'pikul', 'harapan', 'orang', 'tua', 'kakak', 'natsu', 'fuyu', 'berusaha', 'tetap', 'waras', 'memperbaiki', 'keadaan']","['masalah', 'keluarga', 'todoroki', 'kompleks', 'pahlawan', 'nomor', 'laku', 'keras', 'anak', 'sulung', 'buron', 'istri', 'sakit', 'mental', 'anak', 'bungsu', 'pikul', 'harap', 'orang', 'tua', 'kakak', 'natsu', 'fuyu', 'usaha', 'tetap', 'waras', 'baik', 'ada']",masalah keluarga todoroki kompleks pahlawan nomor laku keras anak sulung buron istri sakit mental anak bungsu pikul harap orang tua kakak natsu fuyu usaha tetap waras baik ada
@tria_elang @kegblgnunfaedh Bapak gua juga Agus suka KDRT cuy,negatif,bapak gua juga agus suka kdrt cuy,bapak saya juga agus suka kdrt cuy,"['bapak', 'saya', 'juga', 'agus', 'suka', 'kdrt', 'cuy']","['bapak', 'agus', 'suka', 'kdrt', 'cuy']","['bapak', 'agus', 'suka', 'kdrt', 'cuy']",bapak agus suka kdrt cuy
yaelah kak istri kena kdrt sampai meninggal aja yg disalahin istrinya kok. bayangin udh jadi mayat aja yg salah tetep istrinya ada mikir ga anak2nya jd piatu tiba2 dan trauma seumur idup?kaga ada. makanya org indonesia nih bukan pro life tp pro coli moral si paling suci aja.,negatif,yaelah kak istri kena kdrt sampai meninggal aja yg disalahin istrinya kok bayangin udh jadi mayat aja yg salah tetep istrinya ada mikir ga anaknya jd piatu tiba dan trauma seumur idupkaga ada makanya org indonesia nih bukan pro life tp pro coli moral si paling suci aja,kak istri terkena kdrt sampai meninggal saja yang disalahin istrinya kok bayangkan sudah jadi mayat saja yang salah tetap istrinya ada mikir tidak anaknya jadi piatu tiba dan trauma seumur idupkaga ada makanya orang indonesia bukan pro life tetapi pro coli moral si paling suci saja,"['kak', 'istri', 'terkena', 'kdrt', 'sampai', 'meninggal', 'saja', 'yang', 'disalahin', 'istrinya', 'kok', 'bayangkan', 'sudah', 'jadi', 'mayat', 'saja', 'yang', 'salah', 'tetap', 'istrinya', 'ada', 'mikir', 'tidak', 'anaknya', 'jadi', 'piatu', 'tiba', 'dan', 'trauma', 'seumur', 'idupkaga', 'ada', 'makanya', 'orang', 'indonesia', 'bukan', 'pro', 'life', 'tetapi', 'pro', 'coli', 'moral', 'si', 'paling', 'suci', 'saja']","['kak', 'istri', 'terkena', 'kdrt', 'meninggal', 'disalahin', 'istrinya', 'kok', 'bayangkan', 'jadi', 'mayat', 'salah', 'tetap', 'istrinya', 'mikir', 'tidak', 'anaknya', 'jadi', 'piatu', 'tiba', 'trauma', 'seumur', 'idupkaga', 'makanya', 'orang', 'indonesia', 'bukan', 'pro', 'life', 'pro', 'coli', 'moral', 'si', 'paling', 'suci']","['istri', 'kena', 'kdrt', 'tinggal', 'disalahin', 'istri', 'bayang', 'mayat', 'salah', 'tetap', 'istri', 'mikir', 'tidak', 'anak', 'piatu', 'tiba', 'trauma', 'umur', 'idupkaga', 'makanya', 'orang', 'indonesia', 'bukan', 'pro', 'life', 'pro', 'coli', 'moral', 'paling', 'suci']",istri kena kdrt tinggal disalahin istri bayang mayat salah tetap istri mikir tidak anak piatu tiba trauma umur idupkaga makanya orang indonesia bukan pro life pro coli moral paling suci
@rejekianakbaik Aku takut kak takut KDRT takut diselingkuhin. Tapi yang pasti sih nggak ada yang mau sama aku,negatif,aku takut kak takut kdrt takut diselingkuhin tapi yang pasti sih nggak ada yang mau sama aku,saya takut kak takut kdrt takut diselingkuhin tetapi yang pasti tidak ada yang mau sama saya,"['saya', 'takut', 'kak', 'takut', 'kdrt', 'takut', 'diselingkuhin', 'tetapi', 'yang', 'pasti', 'tidak', 'ada', 'yang', 'mau', 'sama', 'saya']","['takut', 'kak', 'takut', 'kdrt', 'takut', 'diselingkuhin', 'tidak', 'mau', 'sama']","['takut', 'takut', 'kdrt', 'takut', 'diselingkuhin', 'tidak', 'sama']",takut takut kdrt takut diselingkuhin tidak sama
